Unique ID	Card Unique ID	Card Name	Card Pitch	Card ID	Set Printing Unique ID	Set ID	Edition	Rarity	Foiling	Art Variations	Artists	Expansion Slot	Flavor Text	Image URL	Image Rotation Degrees	TCGPlayer ID	Image Hash Art	Image Hash Full																																				
rzfpDwdPpWNNwwp7JJqtf	dHNcBPjwggj8GdFnqbkrD	Beast Within	2	1HP011	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Alexander Mokhov			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP011.webp		270946	5460401501324387462	7957742551036970319																																				
gDkTfgjmCmWprtMNhjDNf	dGqFDHg9FqzfbDcNcLPtP	Massacre	1	1HP012	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Phu Thieu			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP012.webp		270949	1075614344509017139	3327813303781212283																																				
fnRzd6KfMrjFdBB8WFtrG	mmtHRdGFhPtwR8LF8tq6p	Reckless Swing	3	1HP013	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Arif Wijaya			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP013.webp		270951	559312234766441581	3346122370400436330																																				
PGFghMPHRhrgKpJQBQjgH	fTbpMzhTMBwFNCpGKCft7	Bloodrush Bellow	2	1HP014	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Wisnu Tan			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP014.webp		270955	118070908600359011	4551943780772975935																																				
fPrbqhcgCWC7fgWk78TRM	BpjDRjGcMhFQkKQLnLLkQ	Sand Sketched Plan	3	1HP015	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Ksenia Belova			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP015.webp		270959	1338306778370033777	4195829303522726267																																				
7pNFRqghJjzdNdnQ96hKL	h9W6rrHqhh8p7bzH7tKmH	Breakneck Battery	1	1HP016	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Adolfo Navarro			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP016.webp		270961	2002317557218777508	4484324662317203562																																				
mP8QChp8TWTKKQPcJbgnW	jk9DMwtQDGFNpG7CBghpw	Breakneck Battery	2	1HP017	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Adolfo Navarro			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP017.webp		270966	2002308761125886372	4484324662317203562																																				
fKj6FhKhzKPqRhwpWKpKB	NDtf9QNdnRFLkjncQDRgM	Breakneck Battery	3	1HP018	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Adolfo Navarro			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP018.webp		270970	2002308761125886372	4484324662317203562																																				
G9jcP9KMzHtF6j8mmw6Mc	mFdkTGPQDnWjLB9Tgmdmm	Savage Feast	1	1HP019	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Vladimir Shatunov			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP019.webp		270973	5099145829438886476	7956383434642919727																																				
8Lk7tCCgbFhmqP8tRkhm6	8t8CJMmCJTFtfF98wRTLr	Savage Feast	2	1HP020	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Vladimir Shatunov			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP020.webp		270979	5099145829438886476	7956383434642919727																																				
NfCp7fn99Hgr8tzGmkHJK	FkLTfnTqkjBKt9Ch9m8C8	Savage Feast	3	1HP021	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Vladimir Shatunov			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP021.webp		270982	5099145829438886476	7956383434642919727																																				
kRLmzmfpJQc8LJfMBgFLf	WCgctGz6KWwfp9Dhd7H7c	Barraging Beatdown	1	1HP022	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Olga Khariton			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP022.webp		270985	2151715919122679970	4213892474740249902																																				
mQmg9j9dCgmqmJbbbhL7h	7zrn7HFQgcMFKMhJh6DPc	Barraging Beatdown	2	1HP023	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Olga Khariton			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP023.webp		270989	2151715919122679970	4213892474740249886																																				
Wj8rBrchhjPKqQHdBrJMT	mnDGzj8JLF997nnwpFpBH	Barraging Beatdown	3	1HP024	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Olga Khariton			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP024.webp		271010	2151715919122679970	4213892474740249902																																				
QGrk8bDdmn6FfcDwg9qPF	ckjckdp6twK8nfwqGch7J	Pack Hunt	1	1HP025	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Olga Khariton		Horrific beasts lurk within the shadows, their gaping maws dripping with blood.	https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP025.webp		271240	3772507293453751254	4569685248019056825																																				
gtzF8T9MKhBQbPhR8tHt6	rRHncwrCNq9TmTcndW8bq	Pack Hunt	2	1HP026	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Olga Khariton		Horrific beasts lurk within the shadows, their gaping maws dripping with blood.	https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP026.webp		271245	3772507293453751254	4569676451930228921																																				
grnnGdtNW9CpkcCff6wj7	BntHbFDb7HmGmNq8wmLCq	Pack Hunt	3	1HP027	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Olga Khariton		Horrific beasts lurk within the shadows, their gaping maws dripping with blood.	https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP027.webp		271250	3772507293453751254	4569685248019056825																																				
cJNqTzGbhBFGFLLFnJfkG	FDktk7t9NkNdLDQQhCPBR	Riled Up	1	1HP028	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Sergey Averkin		When word of war reached the Rek'vas Bloodboars, they were struck with fear… fear of missing out!	https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP028.webp		271260	1023699032438992973	3332262135307802477																																				
BHNCLd66RH7FmrtDBJznR	B9HmMb6jB9M8kWFLH86fT	Riled Up	2	1HP029	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Sergey Averkin		When word of war reached the Rek'vas Bloodboars, they were struck with fear… fear of missing out!	https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP029.webp		271264	1023699032438992973	3332262135307802477																																				
dkn8qkDCk7bQWpqwdqTTG	gnjKkBhQtpnDgQ6Q6KD9G	Riled Up	3	1HP030	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Sergey Averkin		When word of war reached the Rek'vas Bloodboars, they were struck with fear… fear of missing out!	https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP030.webp		271270	1023699032438992973	3332262135307802477																																				
nHbPgbtDMDNGh8cqbrKKz	N8DMCFHgLPLrn9wQhhTjC	Savage Swing	1	1HP031	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Yulia Litvinova		"""I should have listened - no amount of money is worth coming to this wretched place."""	https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP031.webp		271274	976184526572965321	4485182607535162472																																				
z7WLgmtkPz6JRPcp6QGFG	cKRWnQCGq8f8dGKT7G8pF	Savage Swing	2	1HP032	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Yulia Litvinova		"""I should have listened - no amount of money is worth coming to this wretched place."""	https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP032.webp		271280	976184526036094413	4485182607534900329																																				
kmCjdw6mDQMzcGQTwQb8f	7zdfJDbhwjMnMNqkDJ9Qb	Savage Swing	3	1HP033	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Yulia Litvinova		"""I should have listened - no amount of money is worth coming to this wretched place."""	https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP033.webp		271284	976184526036094413	4485182607534900329																																				
wrnc6HD7mhKW6mKKTCFRr	WNp6DbGwLqPchCNDmGq66	Smash Instinct	1	1HP034	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Olga Khariton		Following one's instinct may be ill advised.	https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP034.webp		271286	7210144006110072020	3327771530261472313																																				
pRHGpK8kDGRg87zFB6kD8	GH9kGJN7nDbcD9GRbwPNH	Smash Instinct	2	1HP035	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Olga Khariton		Following one's instinct may be ill advised.	https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP035.webp		271289	7210144006110072020	3327762736315933753																																				
GgfkjGmR6wGFNqr9mKfMf	BDBWNGBLdhNLcKLQ6dcdw	Smash Instinct	3	1HP036	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Olga Khariton		Following one's instinct may be ill advised.	https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP036.webp		271291	7210144006110072020	3327762736315933753																																				
NKNTK7pGRzbJQwPnC7zbF	qfFQbdJPqGhjD99dLC6gD	Wrecker Romp	1	1HP037	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Arif Wijaya		The savage rule of the jungle; only the strong survive.	https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP037.webp		271294	2437938234243293083	4553069679894369850																																				
M88pGCQW6MJPz87rzLFp8	HhfPFLHfgBhNMMnMqNRf9	Wrecker Romp	2	1HP038	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Arif Wijaya		The savage rule of the jungle; only the strong survive.	https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP038.webp		271295	2437938234243293083	4553069679894369850																																				
bkJGbDqqWFmrrgQtGhrtp	nPdtpJ7BgkdccWhMGttWr	Wrecker Romp	3	1HP039	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Arif Wijaya		The savage rule of the jungle; only the strong survive.	https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP039.webp		271296	2437938234243293083	4553069679894369850																																				
fjnqHp6LPPhLgPmqNqJft	HFHk96nMLCb7djccbnWpR	Primeval Bellow	1	1HP040	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Raphael Masalimov			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP040.webp		271297	5968378209544648624	8897868785313940673																																				
PzbR8RrtKphJjP6HH8Bjc	wG8dQmKcfwwGMwdRzjpwn	Primeval Bellow	2	1HP041	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Raphael Masalimov			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP041.webp		271298	5968378209544648624	8897868785313940673																																				
HNfzKptcNkLKwFtLqw98R	qw9LBP66tDQBHwRcgTTjg	Primeval Bellow	3	1HP042	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Raphael Masalimov			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP042.webp		271299	5968378209544648624	8897868785313940673																																				
F8RptMQrgfHhrhL6qjjwc	NtLDgPBR7HqDqhDzJMHmk	Bravo, Showstopper		1HP043	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Alexander Mokhov			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP043.webp		271313	8467759962926979611	7937477283516354918																																				
gcm6R69tGCmbRkWkWPHjM	tzTbzLkLhDzmW9QMJr9KF	Bravo		1HP044	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Adolfo Navarro			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP044.webp		271312	5105849372827748962	7956331743502763310																																				
fBphrdnCbFMbmqQHfN97g	BFWbnQjgKgRBjw88jK8KH	Anothos		1HP045	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Adolfo Navarro			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP045.webp		271300	5470067828173255824	5722263776454107501																																				
6tR9jFWBpTjczDjqWrd6q	TGJ8mNQ6DnfnLqzH7WMFg	Sledge of Anvilheim		1HP046	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		bimawithpencil		"""Where Isen's Peak touches the heavens, mighty weapons fit for the Gods are forged."" - Olde tale of Anvilheim"	https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP046.webp		271301	663495770228561049	4557555758723875912																																				
9TQmL9mtwg6f8qnfCGrmL	TN6DmN7GK9DtMKd9pnmwF	Tectonic Plating		1HP047	rW8hnzQk9DFq89t6Gm9cH	1HP	N	L	S		Alexander Mokhov			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP047.webp		271303	859330668628571590	8892591179645685070																																				
p8PgqgqkCKb8tkwqkJdwq	rjhDRz7JGN7kpDdjHQfrg	Helm of Isen's Peak		1HP048	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Ksenia Belova			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP048.webp		271304	3567356569074603118	3689508901984967737																																				
BwTNGQLrTTk7pwdWd9wnw	DbpdPtLqk9zqfp6bdQTP6	Crater Fist		1HP049	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Shen Fei			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP049.webp		271305	7677381301987570400	3400096310322323559																																				
rJGzpqw8wN8h6DWdRp7D9	j8jjnw6NmpTpf9cWThfgg	Crippling Crush	1	1HP050	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Wisnu Tan			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP050.webp		271306	7210942700139231464	7956340526411714891																																				
GkK7c669N7GrLQpDDB8Jj	q7GfHcHBpWqCbtghcpnTj	Mangle	1	1HP051	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Federico Musetti		"""There will be no peace for warmongers like you."" - Jarl Vetreiði"	https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP051.webp		271307	7749917046206400210	7669230563314075497																																				
DcW8DgzbGdcPGFzBWnfrW	WjTbCjjCgPncF9w7WH9Q8	Righteous Cleansing	2	1HP052	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Nathaniel Himawan			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP052.webp		271308	5160520773506614724	7668104598996227479																																				
TppN7fmbcgrFPTMMCc9Fw	BwgjdFCGncmNwKPkrznN7	Spinal Crush	1	1HP053	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Sergey Gurskiy			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP053.webp		271309	2631726283965091739	4557243427093791075																																				
96gtJGDCcKgG8KLCKLjhf	hMQTg6qwCLqnHBdGbP6wH	Show Time!	3	1HP054	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Alexander Mokhov			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP054.webp		271310	8330864098393295309	8882115085657674040																																				
nwTQM9kQtdkPnrQBQkrqr	TtMnqPqJNGgrjmMJ99KWn	Disable	1	1HP055	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Nathaniel Himawan			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP055.webp		271293	1358357200220865393	4556447379932628075																																				
m9MdHKRGRwNk7rMz8zjh8	fgrK7Mbp8qQcbMtQDwk9F	Disable	2	1HP056	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Nathaniel Himawan			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP056.webp		271292	1358357200220865393	4556447379932628075																																				
HjpRBqmrFDKmKwWb6MrLT	7LPnw9zFRhGmKHzCzMpdJ	Disable	3	1HP057	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Nathaniel Himawan			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP057.webp		271290	1358357200220865393	4556447379932628075																																				
cTbtrBwftP6jMP7KdKCcf	QWftpgJpG9fHpC9MdjzKP	Staunch Response	1	1HP058	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Nikolai Maslakov		"""Whatever comes, we must not falter."" - Ragnar Frosthelm"	https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP058.webp		271288	2578843580991759986	3418166972093340717																																				
LqzJGCfCNhPcrKcRnfQgh	BmFFCfgQNp9CBNJWDNzj6	Staunch Response	2	1HP059	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Nikolai Maslakov		"""Whatever comes, we must not falter."" - Ragnar Frosthelm"	https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP059.webp		271287	2578843580991759986	3418166972093340717																																				
qCHWBFzF9RQmQNHhzwLD8	CJmNCDkwJKGMbhbnjh6Q9	Staunch Response	3	1HP060	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Nikolai Maslakov		"""Whatever comes, we must not falter."" - Ragnar Frosthelm"	https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP060.webp		271285	2578843580991759986	3418166972093340717																																				
RWWhRtF99NjCn7kqg7LJz	7CtMDpTTHNC7DrwJHtJ9M	Blessing of Deliverance	1	1HP061	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Asep Ariyanto			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP061.webp		271282	8486131435477367843	8821080288188994665																																				
hTqJHjcg8c9MhQGBbJtJw	fPm6WdzfPTdDqG7Q6d6Tc	Blessing of Deliverance	2	1HP062	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Asep Ariyanto			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP062.webp		271278	8486131435477367843	8821080288188994665																																				
qHhntGKkpWzThBdq9DTwp	cTFqbDrnD7GwFrJJrfhdb	Blessing of Deliverance	3	1HP063	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Asep Ariyanto			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP063.webp		271276	8486131435477367843	8821080288188994665																																				
mcwFRNDMLHQ6LGNMTKBgK	7rNHHrKTMQDhQdp6tgKhD	Towering Titan	1	1HP064	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		bimawithpencil			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP064.webp		271273	4954025110179506101	5642606474076472681																																				
hBcNBHHKzmmNPp7gbbLTG	6QjFBg8DFzJBbLNmzKjPj	Towering Titan	2	1HP065	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		bimawithpencil			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP065.webp		271269	4954025110179506101	5642606474076472681																																				
MCTMJknNH7PHJHTcK9Mkt	dDJjK9RbrTTMp7cBkgdqJ	Towering Titan	3	1HP066	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		bimawithpencil			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP066.webp		271266	4954025110179506101	5642606474076472681																																				
FN9ngRQhfhLGkfJrHwhmr	h7zPMnmnnHgbHRhncLJm8	Cartilage Crush	1	1HP067	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Mike Dalzell			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP067.webp		271262	125183695123627268	4557590872782651442																																				
7JKrqqrKDMDCJBffhc6nJ	qRCfPWjnmP9kMwczzqBcC	Cartilage Crush	2	1HP068	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Mike Dalzell			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP068.webp		271259	125183695123627268	4557590872782651442																																				
jH6LhqPWLPWKKJgJJqgGq	tcjTRLGRtwRW7Khb6HfKB	Cartilage Crush	3	1HP069	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Mike Dalzell			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP069.webp		271256	125183695123627268	4557590872782651442																																				
CNB8PqnPtjPw6nbTdP6BB	fzzJk9PmQWWNpWN9qWHCH	Chokeslam	1	1HP070	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Emilis Emka			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP070.webp		271253	7326537399186105829	7669230568025982268																																				
fm9pfgQdtBkbWBMkBkmzd	NQtBMGcTc8mwL9Whpm6RQ	Chokeslam	2	1HP071	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Emilis Emka			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP071.webp		271249	7326537399186105829	7669230585205851420																																				
qCBpNfdhPcJdqPpP7pPRh	hTcPj7fQfqChgCnpMCDPB	Chokeslam	3	1HP072	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Emilis Emka			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP072.webp		271247	7326537399186105829	7669230568025982268																																				
TQgzDbzBhQLNPz78RfQjr	gNMFmq7hhbDCRHHzhRKRK	Crush Confidence	1	1HP073	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Daniel Jiménez			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP073.webp		271243	2070382182920834231	4484109415528449132																																				
t7WgDWHTppmnnDg6fTb8k	cdtTLJQBTcPbpc8GWmFKN	Crush Confidence	2	1HP074	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Daniel Jiménez			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP074.webp		271239	2070382182920834231	4484390890504635500																																				
mwcrH6bHTDhjnFnFMMfDT	Nj6B7WzpjfdJCbjq6Mwrp	Crush Confidence	3	1HP075	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Daniel Jiménez			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP075.webp		271235	2070382182920834231	4484109415528449132																																				
7khfdPBFCLQCbhMpWDczF	QLGJkQKtpmGkqwpTtHqzG	Debilitate	1	1HP076	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Yulia Litvinova		…and at that moment, Flannigan knew failure was close at hand.	https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP076.webp		271232	398004559190990223	4552809994629792864																																				
GGhFKJFKnFtbbGw6Jm88J	pb9kwPfCFccrmCDgGq7bJ	Debilitate	2	1HP077	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Yulia Litvinova		…and at that moment, Flannigan knew failure was close at hand.	https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP077.webp		271229	398004559190990223	4552809994629792864																																				
ccJdgTPHCWWTDLw6kFRLR	z6t6dcr7F7fWjwKwtqdRd	Debilitate	3	1HP078	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Yulia Litvinova		…and at that moment, Flannigan knew failure was close at hand.	https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP078.webp		271226	398004559190990223	4552809994629792864																																				
pbzhgqrNBwHRDb8Hz8RKk	jd9pfjNMhtjPhWPKqdnpg	Emerging Dominance	1	1HP079	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		bimawithpencil			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP079.webp		271223	980692226925513126	4476175339510677788																																				
LjmhThn67FRcpmjBG7H7N	dBh9zHWmcNHhCHBJjcNWQ	Emerging Dominance	2	1HP080	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		bimawithpencil			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP080.webp		271220	980691952048130470	4476175339510677788																																				
Kk8PmtdpD7j8phn7Gzzt7	RdftGrd8H6WJCkTPtNtGD	Emerging Dominance	3	1HP081	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		bimawithpencil			https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/1HP081.webp		271215	980691952048130470	4476174239999050014																																				
